Suburb,TotalDwellings2002,TotalDwellings2003,TotalDwellings2004,TotalDwellings2005,TotalDwellings2006,TotalDwellings2007,TotalDwellings2008,TotalDwellings2009,TotalDwellings2010,TotalDwellings2011,TotalDwellings2012,TotalDwellings2013,TotalDwellings2014,TotalDwellings2015,TotalDwellings2016,TotalDwellings2017,TotalDwellings2018,TotalDwellings2019,TotalDwellings2020,TotalDwellings2021,Houses2002,Houses2003,Houses2004,Houses2005,Houses2006,Houses2007,Houses2008,Houses2009,Houses2010,Houses2011,Houses2012,Houses2013,Houses2014,Houses2015,Houses2016,Houses2017,Houses2018,Houses2019,Houses2020,Houses2021,Units2002,Units2003,Units2004,Units2005,Units2006,Units2007,Units2008,Units2009,Units2010,Units2011,Units2012,Units2013,Units2014,Units2015,Units2016,Units2017,Units2018,Units2019,Units2020,Units2021,Apartments2002,Apartments2003,Apartments2004,Apartments2005,Apartments2006,Apartments2007,Apartments2008,Apartments2009,Apartments2010,Apartments2011,Apartments2012,Apartments2013,Apartments2014,Apartments2015,Apartments2016,Apartments2017,Apartments2018,Apartments2019,Apartments2020,Apartments2021,Retirement Village Units2002,Retirement Village Units2003,Retirement Village Units2004,Retirement Village Units2005,Retirement Village Units2006,Retirement Village Units2007,Retirement Village Units2008,Retirement Village Units2009,Retirement Village Units2010,Retirement Village Units2011,Retirement Village Units2012,Retirement Village Units2013,Retirement Village Units2014,Retirement Village Units2015,Retirement Village Units2016,Retirement Village Units2017,Retirement Village Units2018,Retirement Village Units2019,Retirement Village Units2020,Retirement Village Units2021,ConstructionValue2002,ConstructionValue2003,ConstructionValue2004,ConstructionValue2005,ConstructionValue2006,ConstructionValue2007,ConstructionValue2008,ConstructionValue2009,ConstructionValue2010,ConstructionValue2011,ConstructionValue2012,ConstructionValue2013,ConstructionValue2014,ConstructionValue2015,ConstructionValue2016,ConstructionValue2017,ConstructionValue2018,ConstructionValue2019,ConstructionValue2020,ConstructionValue2021
Andersons Bay/Waverley,6,9,18,17,17,16,10,8,5,4,4,13,8,10,14,14,18,28,12,7,6,9,16,17,15,13,10,6,5,4,4,4,8,10,14,14,18,20,11,5,0,0,2,0,2,3,0,2,0,0,0,0,0,0,0,0,0,8,1,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2622255,5099550,6391549,6883801,7882536,8958558,4708681,5755522,4763960,2813390,3220780,4710024,8017955,5882000,8824550,9595679,10947700,16007300,9068500,12688500
Blueskin Bay,6,14,11,14,17,8,9,10,8,5,3,10,8,9,11,11,11,15,13,21,5,12,10,14,15,8,9,10,8,5,2,10,8,8,11,11,11,14,11,21,1,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1123400,3596074,3352863,4888260,5693348,3496393,6821899,3801695,3704187,2310249,2293180,4360650,4252318,5457300,6862500,5148255,6321400,6348200,6796900,12276000
Caversham,1,6,5,10,6,6,2,2,12,3,2,2,2,2,3,7,3,3,10,19,1,2,4,4,5,5,2,2,4,1,2,0,1,2,3,7,1,1,5,2,0,4,1,6,1,1,0,0,8,2,0,2,1,0,0,0,0,2,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1032499,3635436,944197,2057224,1338550,1678597,999947,1386290,2429660,942117,3135846,2903200,2986800,844200,2045350,3184245,3086900,765500,4231000,5779000
Concord/Corstophine/Kew,2,7,5,18,16,7,6,7,3,7,10,6,9,7,23,20,22,14,6,11,2,7,5,18,16,7,5,6,3,7,10,6,9,7,23,20,16,12,6,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544538,1472421,1532060,4673199,5375031,2950387,1947158,2526986,1898150,2125119,2303765,5172494,5039925,2647900,8490700,7180800,7748400,8526800,4810500,6570000
Fairfield,17,23,25,38,27,16,7,11,4,2,1,5,4,3,9,8,5,7,9,7,17,23,25,34,27,16,7,11,4,2,1,5,4,3,9,8,5,7,7,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3659174,5928315,6699904,9210050,8251298,5830676,2629600,5004280,2227456,1269099,1060100,2238651,3905150,2251349,5253500,4587800,2914900,5646100,7559300,4461000
Green Island/Abbotsford,6,9,9,11,10,6,7,9,20,9,28,32,31,29,26,15,15,15,31,19,6,9,7,6,10,5,6,3,20,9,26,32,31,29,26,14,15,15,31,13,0,0,2,5,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1868096,3309703,2691373,3461329,4785064,3043006,4209300,9737471,10447487,5288080,8303993,11425738,11846838,13994850,10853400,6511950,9674400,10663600,11821000,8498000
Helensburgh/Balmacewen,1,3,8,5,7,3,2,1,3,4,1,2,1,3,5,1,1,1,4,8,1,3,8,5,3,3,2,1,3,4,1,2,1,3,5,1,0,1,4,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391280,1358883,2812300,3314300,7095099,1691000,1599100,473760,1153449,5651411,738400,1262950,1842350,2057000,3236900,2242600,1180000,763500,3743000,5167000
Inner City,25,22,31,18,67,24,14,19,29,17,23,34,15,18,35,47,34,44,47,47,3,4,3,2,5,6,2,5,3,5,8,2,6,5,4,1,2,1,4,3,5,12,11,14,10,6,4,7,22,12,15,7,6,6,12,8,26,12,6,10,17,6,17,2,52,12,8,7,4,0,0,25,3,7,19,38,6,31,37,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16173069,40031607,38378865,27898790,30187501,51434899,43157229,39904000,78427866,33202231,41785230,30725832,43543940,33622355,37172000,37666800,33440600,50384430,41242500,41632000
Leith Valley,5,8,14,3,6,5,3,0,1,2,5,7,5,2,2,4,7,14,3,8,4,8,12,1,3,4,3,0,1,2,5,7,5,2,2,4,5,11,3,3,1,0,2,2,3,1,0,0,0,0,0,0,0,0,0,0,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1433000,2064590,3892800,1326200,1729200,1312000,1161400,856397,608079,652595,2212200,1927463,1745504,1360800,1236600,2227500,3020500,5140000,2439000,6576000
Maori Hill,4,6,3,9,3,3,3,2,40,1,2,6,4,1,2,1,4,15,3,4,4,6,3,9,3,3,2,1,5,1,2,6,3,1,2,1,4,4,2,3,0,0,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,3581326,3895764,6105899,8801880,5873072,11118321,5778717,4193636,14149618,5867450,5919213,6918177,4469751,8569800,5994229,10882100,5775200,14802700,17720750,13495000
Mornington,2,6,8,5,4,5,3,6,4,1,3,6,20,7,2,5,7,11,5,12,2,6,8,5,4,5,2,6,3,1,3,6,20,7,2,5,7,9,3,10,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000383,2090504,2545365,2296798,3416593,2820247,2705658,3181419,2242387,1166449,3376833,2948250,6527767,2902550,1690400,3728990,4292500,6819000,3475900,8166000
Mosgiel,38,54,56,62,49,60,52,39,31,31,39,47,66,37,53,44,64,61,39,102,36,36,35,46,39,39,29,25,21,14,30,46,45,34,44,40,62,59,29,30,2,18,18,10,10,12,23,14,10,6,9,1,21,3,9,4,2,2,10,61,0,0,3,6,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7984350,14015955,18269444,14379596,12857248,16313841,13327204,33038881,13285891,9836452,11763835,19530724,27022121,14163875,26501350,14795290,26722000,29843744,21430600,41960000
Musselburgh/Tainui,0,1,7,4,2,4,8,2,4,1,3,2,3,2,2,2,1,4,5,11,0,1,3,1,0,4,4,0,4,1,1,2,3,1,2,2,1,2,0,5,0,0,4,3,2,0,4,2,0,0,2,0,0,1,0,0,0,2,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560009,635547,1277799,2674199,1895930,9920451,2123814,4515578,12143513,5410194,869165,2258424,2484500,2459350,1377350,2967750,1068250,1427000,3240000,6754000
